,Name,State,Party,Since_Year,Term_Length,End_Year
0,A. Donald McEachin,VA,Democrat,2021,0,2023
1,A. Drew Ferguson IV,GA,Republican,2021,0,2023
2,Abigail Davis Spanberger,VA,Democrat,2021,0,2023
3,Adam B. Schiff,CA,Democrat,2021,0,2023
4,Adam Kinzinger,IL,Republican,2021,0,2023
5,Adam Smith,WA,Democrat,2021,0,2023
6,Adrian Smith,NE,Republican,2021,0,2023
7,Adriano Espaillat,NY,Democrat,2021,0,2023
8,Al Green,TX,Democrat,2021,0,2023
9,"Al Lawson, Jr.",FL,Democrat,2021,0,2023
10,Alan S. Lowenthal,CA,Democrat,2021,0,2023
11,Albio Sires,NJ,Democrat,2021,0,2023
12,Alcee L. Hastings,FL,Democrat,2021,0,2023
13,Alexander Mooney,WV,Republican,2021,0,2023
14,Alexandria Ocasio-Cortez,NY,Democrat,2021,0,2023
15,Alma S. Adams,NC,Democrat,2021,0,2023
16,Ami Bera,CA,Democrat,2021,0,2023
17,Andrew R. Garbarino,NY,Republican,2021,0,2023
18,Andrew S. Clyde,GA,Republican,2021,0,2023
19,André Carson,IN,Democrat,2021,0,2023
20,Andy Barr,KY,Republican,2021,0,2023
21,Andy Biggs,AZ,Republican,2021,0,2023
22,Andy Harris,MD,Republican,2021,0,2023
23,Andy Kim,NJ,Democrat,2021,0,2023
24,Andy Levin,MI,Democrat,2021,0,2023
25,Angie Craig,MN,Democrat,2021,0,2023
26,Ann Kirkpatrick,AZ,Democrat,2021,0,2023
27,Ann Kuster,NH,Democrat,2021,0,2023
28,Ann Wagner,MO,Republican,2021,0,2023
29,Anna G. Eshoo,CA,Democrat,2021,0,2023
30,Anthony Brown,MD,Democrat,2021,0,2023
31,Anthony Gonzalez,OH,Republican,2021,0,2023
32,Antonio Delgado,NY,Democrat,2021,0,2023
33,Ashley Hinson,IA,Republican,2021,0,2023
34,August Pfluger,TX,Republican,2021,0,2023
35,Aumua Amata Coleman Radewagen,AS,Republican,2021,0,2023
36,Austin Scott,GA,Republican,2021,0,2023
37,Ayanna Pressley,MA,Democrat,2021,0,2023
38,Barbara Lee,CA,Democrat,2021,0,2023
39,Barry Loudermilk,GA,Republican,2021,0,2023
40,Barry Moore,AL,Republican,2021,0,2023
41,Ben Cline,VA,Republican,2021,0,2023
42,Ben Ray Luján,NM,Democrat,2019,2,2021
43,Benjamin L. Cardin,MD,Democrat,2005,16,2007
44,Bennie G. Thompson,MS,Democrat,2021,0,2023
45,Bernard Sanders,VT,Independent,2005,16,2007
46,Beth Van Duyne,TX,Republican,2021,0,2023
47,Betty McCollum,MN,Democrat,2021,0,2023
48,Bill Cassidy,LA,Republican,2013,8,2015
49,Bill Foster,IL,Democrat,2021,0,2023
50,Bill Huizenga,MI,Republican,2021,0,2023
51,Bill Johnson,OH,Republican,2021,0,2023
52,"Bill Pascrell, Jr.",NJ,Democrat,2021,0,2023
53,Bill Posey,FL,Republican,2021,0,2023
54,Billy Long,MO,Republican,2021,0,2023
55,Blaine Luetkemeyer,MO,Republican,2021,0,2023
56,Blake D. Moore,UT,Republican,2021,0,2023
57,Bob Gibbs,OH,Republican,2021,0,2023
58,Bob Good,VA,Republican,2021,0,2023
59,Bobby L. Rush,IL,Democrat,2021,0,2023
60,Bonnie Watson Coleman,NJ,Democrat,2021,0,2023
61,Brad R. Wenstrup,OH,Republican,2021,0,2023
62,Brad Sherman,CA,Democrat,2021,0,2023
63,Bradley Scott Schneider,IL,Democrat,2021,0,2023
64,Brenda L. Lawrence,MI,Democrat,2021,0,2023
65,Brendan F. Boyle,PA,Democrat,2021,0,2023
66,Brett Guthrie,KY,Republican,2021,0,2023
67,Brian Babin,TX,Republican,2021,0,2023
68,Brian Higgins,NY,Democrat,2021,0,2023
69,Brian J. Mast,FL,Republican,2021,0,2023
70,Brian K. Fitzpatrick,PA,Republican,2021,0,2023
71,Bruce Westerman,AR,Republican,2021,0,2023
72,Bryan Steil,WI,Republican,2021,0,2023
73,Burgess Owens,UT,Republican,2021,0,2023
74,Byron Donalds,FL,Republican,2021,0,2023
75,C. A. Dutch Ruppersberger,MD,Democrat,2021,0,2023
76,C. Scott Franklin,FL,Republican,2021,0,2023
77,Carlos A. Gimenez,FL,Republican,2021,0,2023
78,Carol D. Miller,WV,Republican,2021,0,2023
79,Carolyn B. Maloney,NY,Democrat,2021,0,2023
80,Carolyn Bourdeaux,GA,Democrat,2021,0,2023
81,Cathy McMorris Rodgers,WA,Republican,2021,0,2023
82,Charles E. Schumer,NY,Democrat,1997,24,1999
83,"Charles J. ""Chuck"" Fleischmann",TN,Republican,2021,0,2023
84,Charlie Crist,FL,Democrat,2021,0,2023
85,Chellie Pingree,ME,Democrat,2021,0,2023
86,Cheri Bustos,IL,Democrat,2021,0,2023
87,Chip Roy,TX,Republican,2021,0,2023
88,Chris Jacobs,NY,Republican,2021,0,2023
89,Chris Pappas,NH,Democrat,2021,0,2023
90,Chris Stewart,UT,Republican,2021,0,2023
91,Chris Van Hollen,MD,Democrat,2015,6,2017
92,Chrissy Houlahan,PA,Democrat,2021,0,2023
93,Christopher H. Smith,NJ,Republican,2021,0,2023
94,Christopher Murphy,CT,Democrat,2011,10,2013
95,Chuck Grassley,IA,Republican,1979,42,1981
96,Claudia Tenney,NY,Republican,2021,0,2023
97,Clay Higgins,LA,Republican,2021,0,2023
98,Cliff Bentz,OR,Republican,2021,0,2023
99,Colin Z. Allred,TX,Democrat,2021,0,2023
100,Conor Lamb,PA,Democrat,2021,0,2023
101,Cori Bush,MO,Democrat,2021,0,2023
102,Cynthia Axne,IA,Democrat,2021,0,2023
103,Cynthia M. Lummis,WY,Republican,2015,6,2017
104,Dan Bishop,NC,Republican,2021,0,2023
105,Dan Crenshaw,TX,Republican,2021,0,2023
106,Dan Newhouse,WA,Republican,2021,0,2023
107,Daniel Meuser,PA,Republican,2021,0,2023
108,Daniel T. Kildee,MI,Democrat,2021,0,2023
109,Daniel Webster,FL,Republican,2021,0,2023
110,Danny K. Davis,IL,Democrat,2021,0,2023
111,Darin LaHood,IL,Republican,2021,0,2023
112,Darrell Issa,CA,Republican,2021,0,2023
113,Darren Soto,FL,Democrat,2021,0,2023
114,David B. McKinley,WV,Republican,2021,0,2023
115,David E. Price,NC,Democrat,2021,0,2023
116,David G. Valadao,CA,Republican,2021,0,2023
117,David J. Trone,MD,Democrat,2021,0,2023
118,David Kustoff,TN,Republican,2021,0,2023
119,David N. Cicilline,RI,Democrat,2021,0,2023
120,David P. Joyce,OH,Republican,2021,0,2023
121,David Rouzer,NC,Republican,2021,0,2023
122,David Schweikert,AZ,Republican,2021,0,2023
123,David Scott,GA,Democrat,2021,0,2023
124,Dean Phillips,MN,Democrat,2021,0,2023
125,Debbie Dingell,MI,Democrat,2021,0,2023
126,Debbie Lesko,AZ,Republican,2021,0,2023
127,Debbie Stabenow,MI,Democrat,1999,22,2001
128,Debbie Wasserman Schultz,FL,Democrat,2021,0,2023
129,Deborah K. Ross,NC,Democrat,2021,0,2023
130,Debra A. Haaland,NM,Democrat,2021,0,2023
131,Derek Kilmer,WA,Democrat,2021,0,2023
132,Devin Nunes,CA,Republican,2021,0,2023
133,Diana DeGette,CO,Democrat,2021,0,2023
134,Diana Harshbarger,TN,Republican,2021,0,2023
135,Dina Titus,NV,Democrat,2021,0,2023
136,Don Bacon,NE,Republican,2021,0,2023
137,Don Young,AK,Republican,2021,0,2023
138,"Donald M. Payne, Jr.",NJ,Democrat,2021,0,2023
139,Donald Norcross,NJ,Democrat,2021,0,2023
140,"Donald S. Beyer, Jr.",VA,Democrat,2021,0,2023
141,Doris O. Matsui,CA,Democrat,2021,0,2023
142,Doug LaMalfa,CA,Republican,2021,0,2023
143,Doug Lamborn,CO,Republican,2021,0,2023
144,Dusty Johnson,SD,Republican,2021,0,2023
145,Dwight Evans,PA,Democrat,2021,0,2023
146,Earl Blumenauer,OR,Democrat,2021,0,2023
147,"Earl L. ""Buddy"" Carter",GA,Republican,2021,0,2023
148,Ed Case,HI,Democrat,2021,0,2023
149,Ed Perlmutter,CO,Democrat,2021,0,2023
150,Eddie Bernice Johnson,TX,Democrat,2021,0,2023
151,Edward J. Markey,MA,Democrat,2013,8,2013
152,Elaine G. Luria,VA,Democrat,2021,0,2023
153,Eleanor Holmes Norton,DC,Democrat,2021,0,2023
154,Elise M. Stefanik,NY,Republican,2021,0,2023
155,Elissa Slotkin,MI,Democrat,2021,0,2023
156,Emanuel Cleaver,MO,Democrat,2021,0,2023
157,"Eric A. ""Rick"" Crawford",AR,Republican,2021,0,2023
158,Eric Swalwell,CA,Democrat,2021,0,2023
159,Filemon Vela,TX,Democrat,2021,0,2023
160,Frank D. Lucas,OK,Republican,2021,0,2023
161,Frank J. Mrvan,IN,Democrat,2021,0,2023
162,"Frank Pallone, Jr.",NJ,Democrat,2021,0,2023
163,Fred Keller,PA,Republican,2021,0,2023
164,Fred Upton,MI,Republican,2021,0,2023
165,Frederica S. Wilson,FL,Democrat,2021,0,2023
166,G. K. Butterfield,NC,Democrat,2021,0,2023
167,Garret Graves,LA,Republican,2021,0,2023
168,Gary C. Peters,MI,Democrat,2013,8,2015
169,Gary J. Palmer,AL,Republican,2021,0,2023
170,Gerald E. Connolly,VA,Democrat,2021,0,2023
171,Glenn Grothman,WI,Republican,2021,0,2023
172,Glenn Thompson,PA,Republican,2021,0,2023
173,Grace F. Napolitano,CA,Democrat,2021,0,2023
174,Grace Meng,NY,Democrat,2021,0,2023
175,Greg Pence,IN,Republican,2021,0,2023
176,Greg Stanton,AZ,Democrat,2021,0,2023
177,Gregorio Kilili Camacho Sablan,MP,Democrat,2021,0,2023
178,Gregory F. Murphy,NC,Republican,2021,0,2023
179,Gregory W. Meeks,NY,Democrat,2021,0,2023
180,Gus M. Bilirakis,FL,Republican,2021,0,2023
181,Guy Reschenthaler,PA,Republican,2021,0,2023
182,Gwen Moore,WI,Democrat,2021,0,2023
183,H. Morgan Griffith,VA,Republican,2021,0,2023
184,Hakeem S. Jeffries,NY,Democrat,2021,0,2023
185,Haley M. Stevens,MI,Democrat,2021,0,2023
186,Harold Rogers,KY,Republican,2021,0,2023
187,"Henry C. ""Hank"" Johnson, Jr.",GA,Democrat,2021,0,2023
188,Henry Cuellar,TX,Democrat,2021,0,2023
189,Ilhan Omar,MN,Democrat,2021,0,2023
190,J. Hill,AR,Republican,2021,0,2023
191,J. Luis Correa,CA,Democrat,2021,0,2023
192,Jack Bergman,MI,Republican,2021,0,2023
193,Jack Reed,RI,Democrat,1995,26,1997
194,Jackie Speier,CA,Democrat,2021,0,2023
195,Jackie Walorski,IN,Republican,2021,0,2023
196,Jacky Rosen,NV,Democrat,2017,4,2019
197,Jahana Hayes,CT,Democrat,2021,0,2023
198,Jaime Herrera Beutler,WA,Republican,2021,0,2023
199,Jake Auchincloss,MA,Democrat,2021,0,2023
200,Jake LaTurner,KS,Republican,2021,0,2023
201,Jamaal Bowman,NY,Democrat,2021,0,2023
202,James A. Himes,CT,Democrat,2021,0,2023
203,James Comer,KY,Republican,2021,0,2023
204,James E. Clyburn,SC,Democrat,2021,0,2023
205,James Lankford,OK,Republican,2013,8,2015
206,James M. Inhofe,OK,Republican,1993,28,1994
207,James P. McGovern,MA,Democrat,2021,0,2023
208,James R. Baird,IN,Republican,2021,0,2023
209,James R. Langevin,RI,Democrat,2021,0,2023
210,Jamie Raskin,MD,Democrat,2021,0,2023
211,Janice D. Schakowsky,IL,Democrat,2021,0,2023
212,Jared F. Golden,ME,Democrat,2021,0,2023
213,Jared Huffman,CA,Democrat,2021,0,2023
214,Jason Crow,CO,Democrat,2021,0,2023
215,Jason Smith,MO,Republican,2021,0,2023
216,Jay Obernolte,CA,Republican,2021,0,2023
217,Jeff Duncan,SC,Republican,2021,0,2023
218,Jeff Fortenberry,NE,Republican,2021,0,2023
219,Jefferson Van Drew,NJ,Republican,2021,0,2023
220,Jennifer Wexton,VA,Democrat,2021,0,2023
221,Jenniffer González-Colón,PR,Republican,2021,0,2023
222,Jerrold Nadler,NY,Democrat,2021,0,2023
223,Jerry L. Carl,AL,Republican,2021,0,2023
224,Jerry McNerney,CA,Democrat,2021,0,2023
225,Jerry Moran,KS,Republican,2009,12,2011
226,"Jesús G. ""Chuy"" García",IL,Democrat,2021,0,2023
227,Jim Banks,IN,Republican,2021,0,2023
228,Jim Cooper,TN,Democrat,2021,0,2023
229,Jim Costa,CA,Democrat,2021,0,2023
